date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:34:24	250516/250516	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:42:32%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/index.html	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/index.html	(from )
15:34:24	441/441	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jul%202023%2010:04:24%20GMT	http://wp.alithemes.com/robots.txt		(from )
15:34:25	1135/1135	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2015%20May%202021%2019:10:08%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/assets/imgs/theme/favicon.svg	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/assets/imgs/theme/favicon.svg	(from http://wp.alithemes.com/html/evara/evara-frontend/index.html)
15:34:25	184535/184535	---M-Z	200	added ('OK')	text/css	date:Mon,%2014%20Jun%202021%2012:47:00%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/assets/css/main.css?v=3.4	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/assets/css/maind134.css	(from http://wp.alithemes.com/html/evara/evara-frontend/index.html)
15:34:27	129666/129666	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:42:32%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/shop-product-right.html	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/shop-product-right.html	(from http://wp.alithemes.com/html/evara/evara-frontend/index.html)
15:34:28	120909/120909	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:42:32%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/shop-grid-right.html	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/shop-grid-right.html	(from http://wp.alithemes.com/html/evara/evara-frontend/index.html)
15:34:37	101414/101414	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Jun%202021%2012:50:56%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/assets/imgs/banner/menu-banner-7.png	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/assets/imgs/banner/menu-banner-7.png	(from http://wp.alithemes.com/html/evara/evara-frontend/index.html)
15:34:50	121165/121165	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Jun%202021%2017:12:52%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/assets/imgs/shop/product-16-3.jpg	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/assets/imgs/shop/product-16-3.jpg	(from http://wp.alithemes.com/html/evara/evara-frontend/index.html)
15:34:54	169404/169404	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Jun%202021%2017:12:50%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/assets/imgs/shop/product-16-2.jpg	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/assets/imgs/shop/product-16-2.jpg	(from http://wp.alithemes.com/html/evara/evara-frontend/index.html)
15:35:08	85033/85033	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Jun%202021%2017:13:54%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/assets/imgs/shop/product-16-6.jpg	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/assets/imgs/shop/product-16-6.jpg	(from http://wp.alithemes.com/html/evara/evara-frontend/index.html)
15:35:10	258960/258960	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Jun%202021%2017:12:46%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/assets/imgs/shop/product-16-1.jpg	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/assets/imgs/shop/product-16-1.jpg	(from http://wp.alithemes.com/html/evara/evara-frontend/index.html)
15:35:11	129299/129299	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Jun%202021%2017:13:52%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/assets/imgs/shop/product-16-5.jpg	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/assets/imgs/shop/product-16-5.jpg	(from http://wp.alithemes.com/html/evara/evara-frontend/index.html)
15:35:12	214281/214281	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Jun%202021%2017:12:12%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/assets/imgs/shop/product-16-4.jpg	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/assets/imgs/shop/product-16-4.jpg	(from http://wp.alithemes.com/html/evara/evara-frontend/index.html)
15:35:20	42321/42321	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Jun%202021%2017:14:10%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/assets/imgs/shop/thumbnail-5.jpg	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/assets/imgs/shop/thumbnail-5.jpg	(from http://wp.alithemes.com/html/evara/evara-frontend/index.html)
15:35:22	73895/73895	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Jun%202021%2017:14:04%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/assets/imgs/shop/thumbnail-3.jpg	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/assets/imgs/shop/thumbnail-3.jpg	(from http://wp.alithemes.com/html/evara/evara-frontend/index.html)
15:35:23	69614/69614	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Jun%202021%2017:14:08%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/assets/imgs/shop/thumbnail-4.jpg	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/assets/imgs/shop/thumbnail-4.jpg	(from http://wp.alithemes.com/html/evara/evara-frontend/index.html)
15:35:25	112473/112473	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Jun%202021%2017:13:56%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/assets/imgs/shop/product-16-7.jpg	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/assets/imgs/shop/product-16-7.jpg	(from http://wp.alithemes.com/html/evara/evara-frontend/index.html)
15:35:28	50357/50357	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Jun%202021%2017:14:14%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/assets/imgs/shop/thumbnail-6.jpg	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/assets/imgs/shop/thumbnail-6.jpg	(from http://wp.alithemes.com/html/evara/evara-frontend/index.html)
15:35:29	42478/42478	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Jun%202021%2017:14:20%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/assets/imgs/shop/thumbnail-8.jpg	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/assets/imgs/shop/thumbnail-8.jpg	(from http://wp.alithemes.com/html/evara/evara-frontend/index.html)
15:35:29	495/495	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2009%20May%202021%2020:58:12%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/assets/imgs/theme/icons/icon-facebook.svg	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/assets/imgs/theme/icons/icon-facebook.svg	(from http://wp.alithemes.com/html/evara/evara-frontend/index.html)
15:35:30	1507/1507	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2009%20May%202021%2020:58:22%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/assets/imgs/theme/icons/icon-twitter.svg	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/assets/imgs/theme/icons/icon-twitter.svg	(from http://wp.alithemes.com/html/evara/evara-frontend/index.html)
15:35:30	63124/63124	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Jun%202021%2017:14:16%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/assets/imgs/shop/thumbnail-7.jpg	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/assets/imgs/shop/thumbnail-7.jpg	(from http://wp.alithemes.com/html/evara/evara-frontend/index.html)
15:35:30	743/743	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2009%20May%202021%2020:58:36%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/assets/imgs/theme/icons/icon-instagram.svg	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/assets/imgs/theme/icons/icon-instagram.svg	(from http://wp.alithemes.com/html/evara/evara-frontend/index.html)
15:35:31	539/539	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2009%20May%202021%2020:58:54%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/assets/imgs/theme/icons/icon-pinterest.svg	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/assets/imgs/theme/icons/icon-pinterest.svg	(from http://wp.alithemes.com/html/evara/evara-frontend/index.html)
15:35:32	67977/67977	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:42:32%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/shop-wishlist.html	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/shop-wishlist.html	(from http://wp.alithemes.com/html/evara/evara-frontend/index.html)
15:35:32	75868/75868	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:42:32%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/shop-compare.html	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/shop-compare.html	(from http://wp.alithemes.com/html/evara/evara-frontend/index.html)
15:35:33	47141/47141	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:42:32%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/page-contact.html	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/page-contact.html	(from http://wp.alithemes.com/html/evara/evara-frontend/index.html)
15:35:33	3594/3594	---M--	200	added ('OK')	image/png	date:Fri,%2021%20May%202021%2019:26:36%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/assets/imgs/theme/flag-fr.png	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/assets/imgs/theme/flag-fr.png	(from http://wp.alithemes.com/html/evara/evara-frontend/index.html)
15:35:34	3588/3588	---M--	200	added ('OK')	image/png	date:Fri,%2021%20May%202021%2019:26:22%20GMT	http://wp.alithemes.com/html/evara/evara-frontend/assets/imgs/theme/flag-dt.png	C:/Users/aswin/OneDrive/Desktop/Evara/Evara/wp.alithemes.com/html/evara/evara-frontend/assets/imgs/theme/flag-dt.png	(from http://wp.alithemes.com/html/evara/evara-frontend/index.html)
